name,version,workspace,observedRuntimeImport,observedPrograms,observedSubpaths,entryTypeEvidence,typeStatusAtObservedImports,autoRefusalsAtObservedImports,parentContexts,typedParentContexts,ownDeclarationFiles,shippedTsFiles,shippedJsFiles,nativeAddonFiles,root,manifestSha256
is-glob,4.0.3,False,True,redcode/redcode,is-glob,js-or-native-no-declaration-found,no-declaration-resolved,it ships no own .d.ts declaration surface,3,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-glob@4.0.3/node_modules/is-glob,1cce62b80db12fc033d85250b5881b1a288476229abda8e1abd983724befd56f
js-tiktoken,1.0.21,False,True,red-skills/memory | red-skills/memory-mcp | red-skills/benchmark-memory,js-tiktoken,type-surface-resolved-in-at-least-one-context,own-declarations,its shipped JS looks minified,2,2,11,0,19,0,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/js-tiktoken@1.0.21/node_modules/js-tiktoken,5040ae37366971233fd53ef33360bc8d94159fa55c0c541f5663980b53b6b3b3
js-yaml,4.3.0,False,True,red-skills/dev,js-yaml,type-surface-resolved-in-at-least-one-context,local-ambient-candidate,it ships no own .d.ts declaration surface,0,0,0,0,30,0,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/js-yaml@4.3.0/node_modules/js-yaml,6921d84ff035bba63648df9de947b0da44c9b4355b94260df1176824d0495d81
jsonc-parser,3.3.1,False,True,redcode/lildax | redcode/redcode,jsonc-parser,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,2,0,12,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/jsonc-parser@3.3.1/node_modules/jsonc-parser,a7a9192caaac00d9330592f4fd572908bee037518128a0fc3db96d2cd652e2b5
linkedom,0.18.13,False,True,redcode/lildax | redcode/redcode,linkedom,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,245,0,253,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/linkedom@0.18.13/node_modules/linkedom,7b616563808ac265ccd75655c15c675d6238e542985b39e21099684221365fff
micromatch,4.0.8,False,True,redcode/redcode,micromatch,type-surface-resolved-in-at-least-one-context,external-types,"its declared types come from a third-party @types package, not the package itself",1,1,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/micromatch@4.0.8/node_modules/micromatch,94dbc881c0329813f2481f35fcfa725a2285d45926d33e9b9b8b80b28487752b
mime-types,3.0.2,False,True,redcode/lildax | redcode/redcode,mime-types,type-surface-resolved-in-at-least-one-context,external-types,"its declared types come from a third-party @types package, not the package itself",6,6,0,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/mime-types@3.0.2/node_modules/mime-types,644fc05ded7d8a20c069a07c7c61373593d4859c91b1386f544cbf247e39820c
minimatch,10.2.5,False,True,redcode/lildax | redcode/redcode,minimatch,type-surface-resolved-in-at-least-one-context,own-declarations,,6,6,12,0,12,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/minimatch@10.2.5/node_modules/minimatch,4b3a08a7ad20dead8bbe4b4fe97a2746bded7c51d218ef3034eb4e330ad31f08
nopt,9.0.0,False,True,redcode/redcode,nopt,js-or-native-no-declaration-found,no-declaration-resolved,it ships no own .d.ts declaration surface,3,0,0,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/nopt@9.0.0/node_modules/nopt,9e9aa0342cc3232da295048d60276edff062faf18b317b600c6ccb6bfc0d212f
npm-package-arg,13.0.2,False,True,redcode/lildax | redcode/redcode,npm-package-arg,type-surface-resolved-in-at-least-one-context,external-types,"its declared types come from a third-party @types package, not the package itself",6,6,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/npm-package-arg@13.0.2/node_modules/npm-package-arg,1a12d6b689df3628a831b61c29b55fe4ba667b37f37d5317eb306929eeb80bad
open,10.1.2,False,True,redcode/lildax | redcode/redcode,open,type-surface-resolved-in-at-least-one-context,own-declarations,,4,4,1,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/open@10.1.2/node_modules/open,8a4b803ceaef2ba333b6bf5376ef64c4bff7dca4dda8ae63045b3d0a282b7903
opencode-gitlab-auth,2.1.0,False,True,redcode/redcode,opencode-gitlab-auth,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,4,0,4,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/opencode-gitlab-auth@2.1.0/node_modules/opencode-gitlab-auth,3c5d4a6ff5a13c82ab73ec939b40a12e5b1bf24c6dccf92ecd1d0f223e1ac0b7
opencode-poe-auth,0.0.1,False,True,redcode/redcode,opencode-poe-auth,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,2,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/opencode-poe-auth@0.0.1+54db6456e1d81a4b/node_modules/opencode-poe-auth,757bf77f3e18a47f847808b88dd60c2d477d81e37e7d6650bacc920a5fee9fbd
opentui-spinner,0.0.7,False,True,redcode/lildax | redcode/redcode,opentui-spinner/solid | opentui-spinner,type-surface-resolved-in-at-least-one-context,own-declarations,its shipped JS looks minified,2,2,4,0,4,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/opentui-spinner@0.0.7+5ab4a390c455099d/node_modules/opentui-spinner,aee6569494c9944ebc2a70b7244ad685564910a36d8f575309384f5035039333
prettier,3.6.2,False,True,redcode/redcode,prettier | prettier/plugins/babel | prettier/plugins/estree,type-surface-resolved-in-at-least-one-context,own-declarations,its shipped JS looks minified,0,0,16,0,36,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/prettier@3.6.2/node_modules/prettier,b7745c082cb15e870748816bbfdc584867644a81be2cd3c17f91647c1c9a0a66
proc-log,6.1.0,False,True,redcode/redcode,proc-log,js-or-native-no-declaration-found,no-declaration-resolved,it ships no own .d.ts declaration surface,14,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/proc-log@6.1.0/node_modules/proc-log,5da081088a404333c924e99523d09d00d90f0e2c2bff011bc14f8899dff8897d
remeda,2.26.0,False,True,redcode/lildax | redcode/redcode,remeda,type-surface-resolved-in-at-least-one-context,own-declarations,its shipped JS looks minified,3,3,368,0,658,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/remeda@2.26.0/node_modules/remeda,555338c778c8a747af88891122e01c3ba2fc2cd47c23c581a7f468dced1c44dd
safe-buffer,5.2.1,False,True,redcode/redcode,safe-buffer,type-surface-resolved-in-at-least-one-context,own-declarations,,4,4,1,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/safe-buffer@5.2.1/node_modules/safe-buffer,e4018fdbfe625433371f48274fee26f520bbe865e0d8c85bf3aa07424134b90c
semver,7.8.5,False,True,redcode/redcode,semver,type-surface-resolved-in-at-least-one-context,external-types,"its declared types come from a third-party @types package, not the package itself",3,3,0,0,49,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/semver@7.8.5/node_modules/semver,7c94cb7f2a53c27b20d76386ec144c062894dbcc909cfabd0f728c37874b1776
solid-js,1.9.10,False,True,redcode/lildax | redcode/redcode,solid-js | solid-js/store,type-surface-resolved-in-at-least-one-context,own-declarations,,34,34,35,0,30,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/solid-js@1.9.10/node_modules/solid-js,7774c194fa6d4aef054709e87cee0c17f50bf095cb482074526a1be0b959a08a
strip-ansi,7.1.2,False,True,redcode/lildax | redcode/redcode,strip-ansi,type-surface-resolved-in-at-least-one-context,own-declarations,,7,7,1,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/strip-ansi@7.1.2/node_modules/strip-ansi,0c5938fd8424ba1a64a7c0824dc83a27b73b28d6702d6382002902be495c087c
tuiuiu.js,1.0.75,False,True,red-dev/red-dev,tuiuiu.js | tuiuiu.js/hooks,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,287,0,287,0,/home/cyber/Work/reddb.io/red-dev/node_modules/.pnpm/tuiuiu.js@1.0.75/node_modules/tuiuiu.js,71bef416812045a6b64a2267d373683326d139489e4ddeca267d727ce69cfd31
turndown,7.2.0,False,True,redcode/lildax | redcode/redcode,turndown,type-surface-resolved-in-at-least-one-context,external-types,"its declared types come from a third-party @types package, not the package itself",2,2,0,0,7,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/turndown@7.2.0/node_modules/turndown,d0b7a4ddc4a58defa9e090f145ea33428989635d412964eee59387e51610492f
