name,version,workspace,observedRuntimeImport,observedPrograms,observedSubpaths,entryTypeEvidence,typeStatusAtObservedImports,autoRefusalsAtObservedImports,parentContexts,typedParentContexts,ownDeclarationFiles,shippedTsFiles,shippedJsFiles,nativeAddonFiles,root,manifestSha256
pure-rand,8.4.0,False,False,,,types-or-ts-files-present-but-root-unresolved,,,1,0,28,0,26,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/pure-rand@8.4.0/node_modules/pure-rand,136f0f3680bc24af41c51f448096f54006578ee9b7c19223b23895037eb709f4
multicast-dns,7.2.5,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,4,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/multicast-dns@7.2.5/node_modules/multicast-dns,36119c9323830dd57b8bb03ad7e0b7357a47ac4c4ef77915f741594243183376
thunky,1.1.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/thunky@1.1.0/node_modules/thunky,2e0f97d0ca8854986390dce5b2721325cce2260fd7800ad72426b820b39a05ba
dns-packet,5.6.1,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,6,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/dns-packet@5.6.1/node_modules/dns-packet,928c17d2ec39fab9d35ab67187005c55795a279f66cf42ba97679b1d41bf63dd
default-browser-id,5.0.1,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/default-browser-id@5.0.1/node_modules/default-browser-id,33d93cd9f507c701ecf0551213ddd0f22fba3ee958be14c4ef7045be79520f3c
bundle-name,4.1.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/bundle-name@4.1.0/node_modules/bundle-name,8aab8e5167a83765db8857c31b88c7f2b39dd63841eb8fda0ab9ceeb15904462
real-require,1.0.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/real-require@1.0.0/node_modules/real-require,363c0f322273e0ea290e610886baf05db5174ea09c83f11fb585b43627d3d5dc
atomic-sleep,1.0.0,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/atomic-sleep@1.0.0/node_modules/atomic-sleep,a9cf82d72a5f240fe051ad0db112bed603df981074928291680d221b96a92d5e
real-require,0.2.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/real-require@0.2.0/node_modules/real-require,f60c1a0cf5710e68786a385832188c7acc717d94dba2f48f968af40b9b403199
quick-format-unescaped,4.0.4,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/quick-format-unescaped@4.0.4/node_modules/quick-format-unescaped,e25559231cba29186a6c278ac945ef19c65b9dca221394892d6682d6a22c046a
split2,4.2.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/split2@4.2.0/node_modules/split2,87b734c3087c8d9ed5d76d1bff00db30f960831ba8705dd18d73b180d08d2140
on-exit-leak-free,2.1.2,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,7,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/on-exit-leak-free@2.1.2/node_modules/on-exit-leak-free,6c6b59245a8a357ba616afd6e1b9bee4caf9c0ed01a21d8f81108ee120d76eb5
set-cookie-parser,2.7.2,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/set-cookie-parser@2.7.2/node_modules/set-cookie-parser,30485e315a03f4ffbafbbcdc205542b754526850a6d71e4cfc1130a4a986a057
fast-decode-uri-component,1.0.1,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/fast-decode-uri-component@1.0.1/node_modules/fast-decode-uri-component,ebdbe738d2ac40389ca3b8b60ae72c248e7293bb5fcffcf2ada794877c0de54a
require-from-string,2.0.2,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/require-from-string@2.0.2/node_modules/require-from-string,c0002f7d4c7d7e2a885cf0f97226344902417c3a0980f2beca41962d2bc1f6d8
abstract-logging,2.0.1,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/abstract-logging@2.0.1/node_modules/abstract-logging,33f6c3a8ec869b76fba4173cd688d1865ae74d746cc3f3b5d85abf9f40ab4038
jws,4.0.1,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/jws@4.0.1/node_modules/jws,a934389f53e2ac8909d5399410c1ede3e35397be9e9f521bde25b61e1fee0b2f
jwa,2.0.1,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/jwa@2.0.1/node_modules/jwa,53610fa0143c2cdef9d280e0c029ededf688930648358d4f3e35a081d75219d8
buffer-equal-constant-time,1.0.1,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/buffer-equal-constant-time@1.0.1/node_modules/buffer-equal-constant-time,2d3df7ecb57811cf6fc43be180d9801c7c70928e5388391a6f258d889449ef4e
formdata-polyfill,4.0.10,False,False,,,types-or-ts-files-present-but-root-unresolved,,,1,0,1,0,4,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/formdata-polyfill@4.0.10/node_modules/formdata-polyfill,09767e86a596171ef17e8ec4977eb11f530654740fa3105dbbd7cd545753421e
node-domexception,1.0.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,25,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/node-domexception@1.0.0/node_modules/node-domexception,1ff59c11ab7aef2b2f7fa393e8b871362e21b8a2defbd4922a8f8a5082fbfa06
extend,3.0.2,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/extend@3.0.2/node_modules/extend,8d891b3f00bead114c4741d8a594e7aaa59114f53782ec9a9319a619709dc14f
json-bigint,1.0.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/json-bigint@1.0.0/node_modules/json-bigint,1c3b07ce46552112606922f0782b316383529b3da935d637c0606cb38a8caa5a
xmlhttprequest-ssl,2.1.2,False,False,,,js-no-declarations-jsdoc-candidate,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/xmlhttprequest-ssl@2.1.2/node_modules/xmlhttprequest-ssl,312ae0ac13ec79d5271b871d140fb8c21accd157eef39f8496d25d014080acc1
whatwg-url,5.0.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/whatwg-url@5.0.0/node_modules/whatwg-url,05a015c4176246f051bbaa3a543ed82480a4a4d85360283e049f159ba014b008
webidl-conversions,3.0.1,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/webidl-conversions@3.0.1/node_modules/webidl-conversions,e26568c06b82596d754c7490fd568b4b3f970b3b97c55020d42f65990d0c86af
tr46,0.0.3,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/tr46@0.0.3/node_modules/tr46,615087f58ee138fd35c2b414c355b72e36e5919725b8aecc1c34f6a5585b9779
@babel/runtime,7.29.7,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,245,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@babel+runtime@7.29.7/node_modules/@babel/runtime,8c4bf20c55e3f3a93df034b12746bf72185cf2acb0ef52847a3465d6e67c61e7
node-gyp-build,4.8.4,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/node-gyp-build@4.8.4/node_modules/node-gyp-build,9e8def3fbf123e28aa1ca4b6aa557fba4e66eecf6e86d170b61ec1c7ed51305d
node-addon-api,7.1.1,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/node-addon-api@7.1.1/node_modules/node-addon-api,e4947cf10e432c42459e60a00947ccd1ad2501e16cf1a530b3d39f0c2de5c83f
node-addon-api,8.8.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,4,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/node-addon-api@8.8.0/node_modules/node-addon-api,cb1986cf56795f72e25f0ead0dc1032826fb35eb171215bab52f60fa09bfc6ac
seroval-plugins,1.3.3,False,False,,,types-or-ts-files-present-but-root-unresolved,,,1,0,15,15,4,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/seroval-plugins@1.3.3+7c651f2eb938f734/node_modules/seroval-plugins,6737180fb72fbb7ceb4b1aea292c2b6e171672f95bdebe6a531df70f084782e0
babel-preset-solid,1.9.12,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/babel-preset-solid@1.9.12+c2439d912c62ff5a/node_modules/babel-preset-solid,8713d5a4d0f15d13ba58c21dbb93f2e5bbfbb7d74b3e2f11c13e3811b50931c9
gensync,1.0.0-beta.2,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/gensync@1.0.0-beta.2/node_modules/gensync,80cddca71baa1ba0cf44f65585e1c1ed7576abdb759ed391007925c961ca6334
convert-source-map,2.0.0,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/convert-source-map@2.0.0/node_modules/convert-source-map,e6bf802e6ee220d66321808ce3d619fbb85ff4d5729ea4f649bd65dfe9ee8956
@babel/helper-validator-identifier,7.29.7,False,False,,,js-or-native-no-declaration-found,,,4,0,0,0,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@babel+helper-validator-identifier@7.29.7/node_modules/@babel/helper-validator-identifier,1ad6aeced8b186ac259da45fea50ab9d65d3d958f6458c80e3c8013649d1b12d
@babel/helper-string-parser,7.29.7,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@babel+helper-string-parser@7.29.7/node_modules/@babel/helper-string-parser,ecbd1aaffa9ad000d3bc5a526067b89244cb3ec64c738fbae8b64a9e805f401b
@babel/code-frame,7.29.7,False,False,,,js-or-native-no-declaration-found,,,4,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@babel+code-frame@7.29.7/node_modules/@babel/code-frame,f9cccb2e601db93851f10935b4e723c95a730c467f187462eb54b16bb353b036
js-tokens,4.0.0,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/js-tokens@4.0.0/node_modules/js-tokens,47345931827b3e26db9fe690abb81f856a0d040cbca8af1e69711a64cd58ce0d
@babel/helper-globals,7.29.7,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,0,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@babel+helper-globals@7.29.7/node_modules/@babel/helper-globals,c06a17222ad81933dbae3768fe59cd6737ebdcfa88b84097f3a8e659e28d2c9f
jsesc,3.1.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/jsesc@3.1.0/node_modules/jsesc,6127ab2ccfbf576671dcfedcf2a8d97c9bbb3e5e4cff1274b3210b86a97a287c
@babel/helpers,7.29.7,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,124,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@babel+helpers@7.29.7/node_modules/@babel/helpers,df7df113698c9c45f0bb08c2e4fe097131dabf58dbeb23c676eb355f782c4aa3
@babel/helper-module-transforms,7.29.7,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,7,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@babel+helper-module-transforms@7.29.7+e33be1330ecc2599/node_modules/@babel/helper-module-transforms,4f5010bdec7a80d93d84a1ecff8fbdd0a9a865f1bd22ceb5b0215a07255de3b3
